name,x,y
Bus 0 MV,0.2,1
Bus R0 MV,0.2,1
Bus R1 LV,-1.4583333333000001,2
Bus R2 LV,-1.4583333333000001,3
Bus R3 LV,-1.4583333333000001,4
Bus R4 LV,-1.9583333333000001,5
Bus R5 LV,-2.7083333333,6
Bus R6 LV,-2.7083333333,7
Bus R7 LV,-3.2083333333,8
Bus R8 LV,-3.2083333333,9
Bus R9 LV,-3.2083333333,10
Bus R10 LV,-3.7083333333,11
Bus R11 LV,-0.9583333333,5
Bus R12 LV,-1.2083333333,6
Bus R13 LV,-1.2083333333,7
Bus R14 LV,-1.2083333333,8
Bus R15 LV,-1.2083333333,9
Bus R16 LV,-2.2083333333,8
Bus R17 LV,-2.7083333333,11
Bus R18 LV,-3.7083333333,12
Bus I0 MV,0.2,1
Bus I1 LV,0.2,2
Bus I2 LV,0.2,3
Bus C0 MV,0.2,1
Bus C1 LV,1.9166666667,2
Bus C2 LV,1.9166666667,3
Bus C3 LV,1.9166666667,4
Bus C4 LV,0.5416666667,5
Bus C5 LV,0.5416666667,6
Bus C6 LV,-0.2083333333,7
Bus C7 LV,-0.2083333333,8
Bus C8 LV,-0.2083333333,9
Bus C9 LV,-0.7083333333,10
Bus C10 LV,3.2916666667,5
Bus C11 LV,2.7916666667000003,6
Bus C12 LV,2.2916666667,7
Bus C13 LV,3.2916666667,7
Bus C14 LV,3.7916666667000003,6
Bus C15 LV,1.2916666667,7
Bus C16 LV,0.7916666667000001,8
Bus C17 LV,1.7916666667,8
Bus C18 LV,0.7916666667000001,9
Bus C19 LV,0.2916666667,10
Bus C20 LV,-0.7083333333,11
